,Model,RMSE,Dataset Size,Time,Memory Usage,Avg Uncertainty,Predictive Noise,In Interval
0,GPR L-BFGS-B,2.242184462317076,10,0.13276171684265137,0.00189208984375,0.023384053,1.41654039637047,0.5
1,GPR L-BFGS-B,3.2387152158382255,20,0.7587950229644775,0.00433349609375,1.0480492,1.6810535076054507,0.75
2,GPR L-BFGS-B,1.594560433027091,30,1.4674639701843262,0.00830078125,0.04910095,0.6386308819999031,0.0
3,GPR L-BFGS-B,0.8514216907050259,40,2.2148420810699463,0.0137939453125,0.010375071,1.8738186501072076,0.0
4,GPR L-BFGS-B,0.8970176398671206,50,3.2640061378479004,0.02081298828125,0.009599483,0.865184879377539,0.0
5,GPR L-BFGS-B,0.954277230673966,60,4.5604939460754395,0.02935791015625,0.012070789,1.1780181184593361,0.0
6,GPR L-BFGS-B,1.2370857202502352,70,6.137010335922241,0.0394287109375,0.012973242,0.9094170144261231,0.0
7,GPR L-BFGS-B,1.0198681112130135,80,7.788387775421143,0.051025390625,0.009759612,0.14791233817134836,0.0625
8,GPR L-BFGS-B,9.19007911295881,90,10.17851209640503,0.06414794921875,0.026238032,0.6554017164123036,0.0
9,GPR L-BFGS-B,1.0774060039482884,100,12.550249814987183,0.07879638671875,0.008903331,0.45975182671051185,0.2
10,GPR L-BFGS-B,1.0648349799624255,110,14.937825679779053,0.094970703125,0.008701555,1.0023678031359455,0.0
11,GPR L-BFGS-B,1.0262575310130353,120,17.515568017959595,0.1126708984375,0.008006461,0.48673136859402055,0.0
12,GPR L-BFGS-B,0.92357535109879,130,32.6533579826355,0.13189697265625,0.0073475814,0.9782405895146012,0.0
13,SGPR L-BFGS-B,57.72163996736385,10,0.04173612594604492,0.00113677978515625,0.7134102,1.2503023,0.0
14,SGPR L-BFGS-B,12.855714791738498,20,0.11774802207946777,0.001312255859375,0.86970866,1.4577129,0.5
15,SGPR L-BFGS-B,111.52771916830191,30,0.32400012016296387,0.00150299072265625,0.69065285,0.21029943,0.0
16,SGPR L-BFGS-B,53.06012127801238,40,0.4483160972595215,0.001708984375,0.2702828,1.9698229,0.0
17,SGPR L-BFGS-B,22.669694196393845,50,0.6340610980987549,0.00193023681640625,0.05332477,0.49458632,0.0
18,SGPR L-BFGS-B,52.84758734718081,60,0.7058639526367188,0.002166748046875,0.27485266,0.71501106,0.0
19,SGPR L-BFGS-B,89.45295120518803,70,1.0702600479125977,0.00241851806640625,0.26080054,1.8056463,0.0
20,SGPR L-BFGS-B,91.64592490762004,80,1.3696770668029785,0.002685546875,0.008381167,0.81093144,0.0
21,SGPR L-BFGS-B,89.71736454307037,90,1.756809949874878,0.00296783447265625,1.0000005,0.9935799,0.0
22,SGPR L-BFGS-B,68.24821875041188,100,1.955690860748291,0.003265380859375,0.0018741175,0.5783905,0.0
23,SGPR L-BFGS-B,94.87897852269445,110,2.264662981033325,0.00357818603515625,0.001985375,1.0198214,0.0
24,SGPR L-BFGS-B,13.777902754384943,120,2.858325958251953,0.00390625,0.004208505,1.4979564,0.0
25,SGPR L-BFGS-B,99.08697350464962,130,3.3305680751800537,0.00424957275390625,0.25271222,1.1969764,0.0
26,GPR CG,9.007303370148737,10,0.19882798194885254,0.00189208984375,0.13043025,1.897716142782738,0.0
27,GPR CG,0.9966005235228114,20,0.7446630001068115,0.00433349609375,0.01575833,1.3418078158733808,0.0
28,GPR CG,1.8224424339964695,30,1.1724870204925537,0.00830078125,0.046329558,1.2540542914925736,0.0
29,GPR CG,0.889045866595144,40,6.355032205581665,0.0137939453125,0.012085745,0.6477093887581462,0.0
30,GPR CG,0.8969701530867031,50,3.0339601039886475,0.02081298828125,0.00952164,0.6259373800727942,0.0
31,GPR CG,0.9231595847743747,60,4.3262529373168945,0.02935791015625,0.016425097,0.4529179678498094,0.0
32,GPR CG,1.0693739323050955,70,56.0366530418396,0.0394287109375,0.008866609,1.1833330355135594,0.0
33,GPR CG,1.0894895971355094,80,7.606598138809204,0.051025390625,0.010998613,0.36857590262440176,0.0
34,GPR CG,4.927307972034493,90,9.982290983200073,0.06414794921875,0.018813247,1.2691678979560042,0.0
35,GPR CG,1.0854840774451595,100,12.101240873336792,0.07879638671875,0.009845032,0.8400377888072721,0.0
36,GPR CG,1.0650108913789817,110,23.49970316886902,0.094970703125,0.0087229,1.802996721768253,0.0
37,GPR CG,1.012297297026022,120,17.654099225997925,0.1126708984375,0.009777396,1.5340924636766327,0.08333333333333333
38,GPR CG,1.0152105188725287,130,20.678399324417114,0.13189697265625,0.009341882,0.3078578873683784,0.0
39,SGPR CG,75.76439504974952,10,0.041628122329711914,0.00113677978515625,0.38450617,1.7428892,0.0
40,SGPR CG,6.914648815839255,20,0.11812305450439453,0.001312255859375,0.8113223,0.67268586,0.25
41,SGPR CG,109.01470397383997,30,0.19497084617614746,0.00150299072265625,0.63695264,0.35541275,0.0
42,SGPR CG,65.01652026772057,40,0.2844808101654053,0.001708984375,0.36010686,0.36137584,0.0
43,SGPR CG,6.062853737574163,50,0.4505951404571533,0.00193023681640625,0.14002761,1.5394442,0.0
44,SGPR CG,30.281394051329144,60,0.6276040077209473,0.002166748046875,0.18359526,0.99122274,0.0
45,SGPR CG,65.9156876280292,70,0.8635401725769043,0.00241851806640625,0.19846085,1.0624219,0.0
46,SGPR CG,94.39211703029706,80,1.1309878826141357,0.002685546875,0.7742106,1.2612169,0.0
47,SGPR CG,107.98117923587215,90,1.4212918281555176,0.00296783447265625,0.18261638,1.1065725,0.0
48,SGPR CG,77.87833043269968,100,2.9909451007843018,0.003265380859375,0.001646219,0.6675643,0.0
49,SGPR CG,81.42822004532044,110,2.1287450790405273,0.00357818603515625,0.001619373,0.42278033,0.0
